scheme,event_id,visa_fee_schedule,cf_fee_id,description,billing_cycle,uom,recovery,product,rate_currency,rate,old_invoice_type,old_service_code_id_or_vi_billing_level,old_service_code_description_or_vi_billing_level,comment_or_actions,edit_table,new_fee_guide_type,new_section_name_level_1,new_subsection_name_level_2
VI,3J4202040,Processing Business Unit,REVERSAL,FINANCIAL REVERSAL - DOMESTIC,Monthly,Per Tx (PPT) ,B,ALL,EUR,0.27115,Processing Business Unit,Clearing And Settlement **,Reversals **,,,Processing Fee Schedule,Clearing and Settlement,Reversals
VI,3J4260700,Processing Business Unit,REVERSAL,FINANCIAL REVERSAL - DOMESTIC,Monthly,Per Tx (PPT) ,B,ALL,EUR,0.27115,Processing Business Unit,Clearing And Settlement **,Reversals **,,,Processing Fee Schedule,Clearing and Settlement,Reversals
VI,3J4229900,Processing Business Unit,REVERSAL,FINANCIAL REVERSAL - INTERNATIONAL,Monthly,Per Tx (PPT) ,B,ALL,EUR,0,Processing Business Unit,Clearing And Settlement **,Reversals **,,,Processing Fee Schedule,Clearing and Settlement,Reversals
VI,3J4288840,Processing Business Unit,REVERSAL,FINANCIAL REVERSAL - INTERNATIONAL,Monthly,Per Tx (PPT) ,B,ALL,EUR,0.27115,Processing Business Unit,Clearing And Settlement **,ACQUIRER—CLEARING AND SETTLEMENT **,,,Processing Fee Schedule,Clearing and Settlement,Acquirer - Clearing and Settlement
VI,3J4212200,Processing Business Unit,REVERSAL,FINANCIAL REVERSAL - INTRA REGIONAL,Monthly,Per Tx (PPT) ,B,ALL,EUR,0.27115,Processing Business Unit,Clearing And Settlement **,Reversals **,,,Processing Fee Schedule,Clearing and Settlement,Reversals
VI,3J4275220,Processing Business Unit,REVERSAL,FINANCIAL REVERSAL - INTRA REGIONAL,Monthly,Per Tx (PPT) ,B,ALL,EUR,0.27115,Processing Business Unit,Clearing And Settlement **,ACQUIRER—CLEARING AND SETTLEMENT **,,,Processing Fee Schedule,Clearing and Settlement,Acquirer - Clearing and Settlement
VI,3J4275221,Non-Regulated Business Unit,REVERSAL,NON EEA FINANCIAL REVERSAL - INTRA REGIONAL,Monthly,Per Tx (PPT) ,B,ALL,EUR,0.065,Non-Regulated Business Unit,Clearing And Settlement **,ACQUIRER—CLEARING AND SETTLEMENT **,,,General Fee Schedule ,Clearing and Settlement,Acquirer - Clearing and Settlement
VI,3J4275222,Non-Regulated Business Unit,REVERSAL,NON EEA FINANCIAL REVERSAL - INTRA REGIONAL SWISS,Monthly,Per Tx (PPT) ,B,ALL,EUR,0.05,Non-Regulated Business Unit,Clearing And Settlement **,ACQUIRER—CLEARING AND SETTLEMENT **,,,General Fee Schedule ,Clearing and Settlement,Acquirer - Clearing and Settlement
VI,3F3163435,Processing Business Unit,VI-NET ACCESS,VISA System Access,Annual,Vol Tier (PPT),B,ALL,EUR,120000,Processing Business Unit,Clearing And Settlement **,VISA System Access **,Billed in advance in October.  Based on previous 12 months' transactions,SCHEME,Processing Fee Schedule,Clearing and Settlement,VisaNet Access
VI,3Z9999055,"Scheme Business Unit,Non-Regulated Business Unit, Processing Business Unit",VI-ONLINE,VISA Online (VOL),Monthly,Fixed,B,PrincipalOther,EUR,95,"Scheme Business Unit,Non-Regulated Business Unit, Processing Business Unit",Mandatory Service Components **,VISA Online (VOL)*,,SCHEME,General Fee Schedule,Mandatory Service Components,Visa Online
VI,3C2163471,Scheme Business Unit,VMAS,VISA Merchant Alert Service (VMAS),Annual,Fixed,B,ALL,EUR,12000,Scheme Business Unit,Mandatory Service Components **,VISA Merchant Alert Service (VMAS) **,Billed in Arrears in September,SCHEME,General Fee Schedule,Mandatory Service Components,Visa Merchant Screening Service (VMSS) 
VI,3B1121000,Scheme Business Unit,ANNL BIN LICSN,BIN Licensing Issuing,Annual,Fixed,C,ALL,EUR,500,Scheme Business Unit,Mandatory Service Components **,BIN Licensing **,Billed in Advance in August,SCHEME,General Fee Schedule,Mandatory Service Components,Numeric Licensing
VI,3Z9903118,Not in Fee Guide,VI BUS SCHOOL,Visa  Business School ,Ad Hoc,Fixed,C,PrincipalOther,EUR,Vary,Not in Fee Guide,Miscellaneous,0,Fee for attending workshop,SCHEME,Not in Fee Guide,Issuer and Acquirer Optional Service Elements,0
VI,3F3527711,Non-Regulated Business Unit,VSS115 RP,VSS115 NON DEFAULT REPORTS,Monthly,Fixed,C,ALL,EUR,12,Non-Regulated Business Unit,Optional Services,VISA Europe Settlement Service (VSS) **,,,General Fee Schedule,Issuer and Acquirer Optional Service Elements,Visa Settlement Service (VSS)
VI,3F3527712,Non-Regulated Business Unit,VSS115M RP,VSS115M NON DEFAULT REPORTS,Monthly,Fixed,C,ALL,EUR,12,Non-Regulated Business Unit,Optional Services,VISA Europe Settlement Service (VSS) **,,,General Fee Schedule,Issuer and Acquirer Optional Service Elements,Visa Settlement Service (VSS)
VI,3F3527713,Non-Regulated Business Unit,VSS120M RP,VSS120M NON DEFAULT REPORTS,Monthly,Fixed,C,ALL,EUR,12,Non-Regulated Business Unit,Optional Services,VISA Europe Settlement Service (VSS) **,,,General Fee Schedule,Issuer and Acquirer Optional Service Elements,Visa Settlement Service (VSS)
VI,3F3527714,Non-Regulated Business Unit,VSS135 RP,VSS135 NON DEFAULT REPORTS,Monthly,Fixed,C,ALL,EUR,12,Non-Regulated Business Unit,Optional Services,VISA Europe Settlement Service (VSS) **,,,General Fee Schedule,Issuer and Acquirer Optional Service Elements,Visa Settlement Service (VSS)
VI,3F3527715,Non-Regulated Business Unit,VSS140M RP,VSS140M NON DEFAULT REPORTS,Monthly,Fixed,C,ALL,EUR,12,Non-Regulated Business Unit,Optional Services,VISA Europe Settlement Service (VSS) **,,,General Fee Schedule,Issuer and Acquirer Optional Service Elements,Visa Settlement Service (VSS)
VI,3F3527716,Non-Regulated Business Unit,VSS210 RP,NON-DEFAULT VSS REPORT VSS-210,Monthly,Fixed,C,ALL,EUR,12,Non-Regulated Business Unit,Optional Services,VISA Europe Settlement Service (VSS) **,,SCHEME,General Fee Schedule,Issuer and Acquirer Optional Service Elements,Visa Settlement Service (VSS)
VI,3F3527717,Non-Regulated Business Unit,VSS210M RP,VSS210M NON DEFAULT REPORTS,Monthly,Fixed,C,ALL,EUR,12,Non-Regulated Business Unit,Optional Services,VISA Europe Settlement Service (VSS) **,,,General Fee Schedule,Issuer and Acquirer Optional Service Elements,Visa Settlement Service (VSS)
VI,3F3527719,Non-Regulated Business Unit,VSS300 RP,VSS300 NON DEFAULT REPORTS,Monthly,Fixed,C,ALL,EUR,12,Non-Regulated Business Unit,Optional Services,VISA Europe Settlement Service (VSS) **,,,General Fee Schedule,Issuer and Acquirer Optional Service Elements,Visa Settlement Service (VSS)
VI,3F3527720,Non-Regulated Business Unit,VSS900 RP,VSS900 NON DEFAULT REPORTS,Monthly,Fixed,C,ALL,EUR,12,Non-Regulated Business Unit,Optional Services,VISA Europe Settlement Service (VSS) **,,,General Fee Schedule,Issuer and Acquirer Optional Service Elements,Visa Settlement Service (VSS)
VI,3C2163442,"Scheme Business Unit, Non-Regulated Business Unit",IMPLM-PROJ,Digital Implementations Project Management,Ad Hoc,Variable,Implemt-Proj,ALL,EUR,37500,"Scheme Business Unit, Non-Regulated Business Unit",Optional Services,Implementation and Certification **,Investigate which progam and passthrough,,General Fee Schedule,Issuer and Acquirer Optional Service Elements,Implementation and Certification
VI,3C2163441,"Scheme Business Unit, Non-Regulated Business Unit",IMPLM-PROJ,CLIENT IMPLEMENTATION PROJECT MANAGEMENT,Ad Hoc,Variable,Implemt-Proj,ALL,EUR,37500,"Scheme Business Unit, Non-Regulated Business Unit",Optional Services,Implementation and Certification **,Investigate which progam and passthrough,,General Fee Schedule,Issuer and Acquirer Optional Service Elements,Implementation and Certification
VI,3C2163438,"Scheme Business Unit, Non-Regulated Business Unit",IMPLM-PROJ,PRODUCTION CHANGES,Ad Hoc,Variable,Implemt-Proj,ALL,EUR,125,"Scheme Business Unit, Non-Regulated Business Unit",Optional Services,Implementation and Certification **,Investigate which progam and passthrough,,General Fee Schedule,Issuer and Acquirer Optional Service Elements,Implementation and Certification
VI,3C2163444,"Scheme Business Unit, Non-Regulated Business Unit",IPK CERTIFICATE,IPK CERTIFICATE,Ad Hoc,Variable,Implemt-Proj,ALL,EUR,375,"Scheme Business Unit, Non-Regulated Business Unit",Optional Services,Implementation and Certification **,Investigate which progam and passthrough,,General Fee Schedule,Issuer and Acquirer Optional Service Elements,Implementation and Certification
VI,3F3516750,Processing Business Unit,CHB CLEAR,CREDIT CHARGEBACK - INTRA REGIONAL,Monthly,Per Tx (PPT) ,Non-Sale,ALL,USD,0,Processing Business Unit,Clearing And Settlement **,ACQUIRER—CLEARING AND SETTLEMENT **,,,Processing Fee Schedule,Clearing and Settlement,Acquirer - Clearing and Settlement
VI,3J4217500,Processing Business Unit,CHB CLEAR,DOMESTIC CHARGEBACK  ACQUIRER,Monthly,Per Tx (PPT) ,Non-Sale,ALL,EUR,0.005,Processing Business Unit,Clearing And Settlement **,ACQUIRER—CLEARING AND SETTLEMENT **,,,Processing Fee Schedule,Clearing and Settlement,Acquirer - Clearing and Settlement
VI,3J4220100,Processing Business Unit,CHB CLEAR,INTER-REGIONAL CHARGEBACK  ACQUIRER,Monthly,Per Tx (PPT) ,Non-Sale,ALL,EUR,0.065,Processing Business Unit,Clearing And Settlement **,ACQUIRER—CLEARING AND SETTLEMENT **,,,Processing Fee Schedule,Clearing and Settlement,Acquirer - Clearing and Settlement
VI,3J4216740,Processing Business Unit,CHB CLEAR,INTRA-REGIONAL CHARGEBACK  ACQUIRER,Monthly,Per Tx (PPT) ,Non-Sale,ALL,EUR,0.01,Processing Business Unit,Clearing And Settlement **,ACQUIRER—CLEARING AND SETTLEMENT **,,,Processing Fee Schedule,Clearing and Settlement,Acquirer - Clearing and Settlement
VI,3F3517000,Processing Business Unit,CHB CLEAR RPSNT,PURCHASE ORIGINAL REPRESENTMENT - DOMESTIC,Monthly,Per Tx (PPT) ,Non-Sale,ALL,EUR,0.005,Processing Business Unit,Clearing And Settlement **,ACQUIRER—CLEARING AND SETTLEMENT **,,,Processing Fee Schedule,Clearing and Settlement,Acquirer - Clearing and Settlement
VI,3J4288640,Processing Business Unit,CHB CLEAR RPSNT,REPRESENTMENT - INTERNATIONAL,Monthly,Per Tx (PPT) ,Non-Sale,ALL,EUR,0.065,Processing Business Unit,Clearing And Settlement **,ACQUIRER—CLEARING AND SETTLEMENT **,,,Processing Fee Schedule,Clearing and Settlement,Acquirer - Clearing and Settlement
VI,3J4275040,Processing Business Unit,CHB CLEAR RPSNT,REPRESENTMENT - INTRA REGIONAL,Monthly,Per Tx (PPT) ,Non-Sale,ALL,EUR,0.01,Processing Business Unit,Clearing And Settlement **,ACQUIRER—CLEARING AND SETTLEMENT **,,,Processing Fee Schedule,Clearing and Settlement,Acquirer - Clearing and Settlement
VI,3J4260560,Processing Business Unit,CHB CLEAR RPSNT,REPRESENTMENT-DOMESTIC,Monthly,Per Tx (PPT) ,Non-Sale,ALL,EUR,0.005,Processing Business Unit,Clearing And Settlement **,ACQUIRER—CLEARING AND SETTLEMENT **,,,Processing Fee Schedule,Clearing and Settlement,Acquirer - Clearing and Settlement
VI,3J4260720,Processing Business Unit,CHB Reversal,CHARGEBACKS REVERSAL - DOMESTIC,Monthly,Per Tx (PPT) ,Non-Sale,ALL,EUR,0.27115,Processing Business Unit,Clearing And Settlement **,Reversals **,,,Processing Fee Schedule,Clearing and Settlement,Reversals
VI,3F3516810,Processing Business Unit,CHB Reversal,CREDIT CHARGEBACK REVERSAL - INTRA REGIONAL,Monthly,Per Tx (PPT) ,Non-Sale,ALL,EUR,0.27115,Processing Business Unit,Clearing And Settlement **,Reversals **,,,Processing Fee Schedule,Clearing and Settlement,Reversals
VI,3F3514300,Processing Business Unit,CHB Reversal,CREDIT ORIGINAL REVERSAL - INTERNATIONAL,Monthly,Per Tx (PPT) ,Non-Sale,ALL,EUR,-0.13557,Processing Business Unit,Clearing And Settlement **,Reversals **,,,Processing Fee Schedule,Clearing and Settlement,Reversals
VI,3F3510210,Processing Business Unit,CHB Reversal,CREDIT ORIGINAL REVERSAL - INTRA REGIONAL,Monthly,Per Tx (PPT) ,Non-Sale,ALL,EUR,-0.13557,Processing Business Unit,Clearing And Settlement **,Reversals **,,,Processing Fee Schedule,Clearing and Settlement,Reversals
VI,3F3514700,Processing Business Unit,CHB Reversal,PURCHASE CHARGEBACK REVERSAL - INTERNATIONAL,Monthly,Per Tx (PPT) ,Non-Sale,ALL,EUR,-0.13557,Processing Business Unit,Clearing And Settlement **,Reversals **,,,Processing Fee Schedule,Clearing and Settlement,Reversals
VI,3F3510230,Processing Business Unit,CHB Reversal,PURCHASE CHARGEBACK REVERSAL - INTRA REGIONAL,Monthly,Per Tx (PPT) ,Non-Sale,ALL,EUR,-0.13557,Processing Business Unit,Clearing And Settlement **,Reversals **,,,Processing Fee Schedule,Clearing and Settlement,Reversals
VI,3F3511500,Processing Business Unit,CHB Reversal,PURCHASE ORIGINAL REVERSAL - DOMESTIC,Monthly,Per Tx (PPT) ,Non-Sale,ALL,EUR,-0.13557,Processing Business Unit,Clearing And Settlement **,Reversals **,,,Processing Fee Schedule,Clearing and Settlement,Reversals
VI,3F3514100,Processing Business Unit,CHB Reversal,PURCHASE ORIGINAL REVERSAL - INTERNATIONAL,Monthly,Per Tx (PPT) ,Non-Sale,ALL,EUR,-0.13557,Processing Business Unit,Clearing And Settlement **,Reversals **,,,Processing Fee Schedule,Clearing and Settlement,Reversals
VI,3F3510200,Processing Business Unit,CHB Reversal,PURCHASE ORIGINAL REVERSAL - INTRA REGIONAL,Monthly,Per Tx (PPT) ,Non-Sale,ALL,EUR,-0.13557,Processing Business Unit,Clearing And Settlement **,Reversals **,,,Processing Fee Schedule,Clearing and Settlement,Reversals
VI,3H4010111,"Scheme Business Unit, Non-Regulated Business Unit",CHB-VROL MISC,060 - TRANSACTION INQUIRY (WITHIN SIX MONTHS),Monthly,Per Tx (PPT) ,Non-Sale,ALL,EUR,0.2,"General Fee Schedule Business Unit, Non-Regulated Business Unit",Mandatory Service Components **,VISA Resolve Online (VROL) **,,,General Fee Schedule,Mandatory Service Components,Visa Resolve Online Transaction and Case Filing Fees
VI,3H4010127,"Scheme Business Unit, Non-Regulated Business Unit",CHB-VROL MISC,570 - FRAUD REPORT SUBMITTED,Monthly,Per Tx (PPT) ,Non-Sale,ALL,EUR,0,"General Fee Schedule Business Unit, Non-Regulated Business Unit",Mandatory Service Components **,VISA Resolve Online (VROL) **,,,General Fee Schedule,Mandatory Service Components,Visa Resolve Online Transaction and Case Filing Fees
VI,3H4010141,"Scheme Business Unit, Non-Regulated Business Unit",CHB-VROL MISC,BLOCKED INVALID DISPUTE BY EDIT,Monthly,Per Tx (PPT) ,Non-Sale,ALL,EUR,5,"General Fee Schedule Business Unit, Non-Regulated Business Unit",Mandatory Service Components **,VISA Resolve Online (VROL) **,,,General Fee Schedule,Mandatory Service Components,Visa Resolve Online Transaction and Case Filing Fees
VI,3H4010144,"Scheme Business Unit, Non-Regulated Business Unit",CHB-VROL MISC,DECLINE EXCEPTION REVIEW,Monthly,Per Tx (PPT) ,Non-Sale,ALL,EUR,10,"General Fee Schedule Business Unit, Non-Regulated Business Unit",Mandatory Service Components **,VISA Resolve Online (VROL) **,,,General Fee Schedule,Mandatory Service Components,Visa Resolve Online Transaction and Case Filing Fees
VI,3H4010133,"Scheme Business Unit, Non-Regulated Business Unit",CHB-VROL MISC,DISPUTE SUBMITTED COLLABORATION AND ALLOCATION,Monthly,Per Tx (PPT) ,Non-Sale,ALL,EUR,1.35,"General Fee Schedule Business Unit, Non-Regulated Business Unit",Mandatory Service Components **,VISA Resolve Online (VROL) **,,,General Fee Schedule,Mandatory Service Components,Visa Resolve Online Transaction and Case Filing Fees
VI,3H4010126,"Scheme Business Unit, Non-Regulated Business Unit",VROL EXCEPT FILE,540 - EXCEPTION FILE - ADDS/CHANGES,Monthly,Per Tx (PPT) ,Non-Sale Excluded,ALL,EUR,0.45,"General Fee Schedule Business Unit, Non-Regulated Business Unit",Mandatory Service Components **,VISA Resolve Online (VROL) **,,,General Fee Schedule,Mandatory Service Components,Visa Resolve Online Transaction and Case Filing Fees
VI,3Z9900224,Non-Regulated Business Unit,ANALYTIC PLATFM TAX,VISA ANALYTICS PLATFORM-TAX,Ad Hoc,Variable,TO REVIEW,PrincipalOther,EUR,0,Non-Regulated Business Unit,OPTIONAL SERVICE ELEMENTS ,VISA ANALYTICS PLATFORM PRICING,Investigate which progam and passthrough,,General Fee Schedule,Issuer and Acquirer Optional Service Elements,Visa Analytics Platform
VI,3F3527900,Processing Business Unit,TEXT MESSAGE,TEXT MESSAGE,Monthly,Per Tx (PPT) ,TO REVIEW,ALL,EUR,0,Processing Business Unit,Clearing And Settlement **,N/A,Investigate which progam and passthrough,,Processing Fee Schedule,Clearing and Settlement,0
VI,3B1102122,"Scheme Business Unit, Non-Regulated Business Unit",ACQ ASSOC,Acquiring Association POS Vol Credit * fee ended 25/01/2020,Quarterly,Per Tx (%) ,A,ACQ,EUR,Vary,"Scheme Business Unit, Non-Regulated Business Unit",QUARTERLY OPERATING CERTIFICATE FEE COMPONENT **,Acquiring Association **,,SCHEME,General Fee Schedule,Quarterly Operating Certificate (QOC) Fee Component,0
VI,3B1102123,"Scheme Business Unit, Non-Regulated Business Unit",ACQ ASSOC,Acquiring Association POS Vol Debit * fee ended 25/01/2020,Quarterly,Per Tx (%) ,A,ACQ,EUR,Vary,"Scheme Business Unit, Non-Regulated Business Unit",QUARTERLY OPERATING CERTIFICATE FEE COMPONENT **,Acquiring Association **,,SCHEME,General Fee Schedule,Quarterly Operating Certificate (QOC) Fee Component,0
VI,3CSF02122,Scheme Business Unit,ACQ CHP,ACQ Card Holder Present Credit (to check billing ID when it's active in July),Quarterly,Per Tx (%) ,A,ACQ,#N/A,tbc,#N/A,#N/A,#N/A,Still on old billing ID 3B1102122 and 3B1102123?,SCHEME,Not in Fee Guide,Issuer and Acquirer Optional Service Elements,0
VI,3CSF02123,Scheme Business Unit,ACQ CHP,ACQ Card Holder Present Debit (to check billing ID when it's active in July),Quarterly,Per Tx (%) ,A,ACQ,#N/A,tbc,#N/A,#N/A,#N/A,Still on old billing ID 3B1102122 and 3B1102123?,SCHEME,Not in Fee Guide,Issuer and Acquirer Optional Service Elements,0
VI,3CSF07100,Non-Regulated and Scheme Business Unit,ACQ CNP,ACQUIRER CARD SERVICE FEE - ACCEPTANCE LOCATION VOLUME FEE (ACQ Card Not Present & Domestic Cash ATM - Need to allocate,Quarterly,Per Tx (%) ,A,ACQ,EUR,0,Non-Regulated and Scheme Business Unit,QUARTERLY OPERATING CERTIFICATE FEE COMPONENT **,"Acquirer Card-Present Service Fee 
AND
Acquirer Card-Not-Present Service Fee",Previously covered under 3B1102108,SCHEME,General Fee Schedule,Quarterly Operating Certificate (QOC) Fee Component,Acquirer Card - Present Service Fee
VI,3CSF07105,"Scheme, Unregulated ",ACQ CHP,Acquirer Card-Present Service Fee ,Quarterly,Per Tx (%) ,A,ACQ&ATM,EUR,0,"Scheme, Unregulated ",QUARTERLY OPERATING CERTIFICATE FEE COMPONENT **,Acquirer Card-Present Service Fee ,To be allocated based on ATM QMR Partner submissions and ATM CNP Volumes,,General Fee Schedule,Quarterly Operating Certificate (QOC) Fee Component,Acquirer Card Present Service Fee
VI,3CSF07110,Scheme Business Unit,ACQ CNP,Acquirer Card-Not-Present Service Fee ,Quarterly,Per Tx (%) ,A,ACQ,EUR,0,Scheme,QUARTERLY OPERATING CERTIFICATE FEE COMPONENT **,Acquirer Card-Not-Present Service Fee ,,,General Fee Schedule,Quarterly Operating Certificate (QOC) Fee Component,Acquirer Card - Not- Present Service Fee
VI,3H4095058,Non-Regulated Business Unit,AUTH3DS,ACQ 3DS Authentication Request Fee,Monthly,Per Tx (PPT) ,A,ACQ,EUR,0.02,Non-Regulated Business Unit,Optional Service Elements,Acquirer 3DS Authentication Request Fee,,SCHEME,General Fee Schedule,Acquirer Optional Service Elements,Acquirer 3DS Authentication Request Fee
VI,3H4095056,Non-Regulated Business Unit,AUTH3DS,EMV 3DS ACQUIRER AUTHENTICATION REQUEST FEE,Monthly,Per Tx (PPT) ,A,ACQ,EUR,0.02,Non-Regulated Business Unit,Optional Service Elements,Acquirer 3DS Authentication Request Fee,,,General Fee Schedule,Acquirer Optional Service Elements,Acquirer 3DS Authentication Request Fee
VI,3J4299565,Processing Business Unit,AUTHORZ,ACQ Authorisation POS Dom,Monthly,Per Tx (PPT) ,A,ACQ,EUR,0.0032,Processing Business Unit,Authorization **,Authorization - Acquirer Charges,,SCHEME,Processing Fee Schedule,Authorization,Authorization - Acquirer Charges
VI,3J4299585,Processing Business Unit,AUTHORZ,ACQ Authorisation POS Inter,Monthly,Per Tx (PPT) ,A,ACQ,EUR,0.0068,Processing Business Unit,Authorization **,Authorization - Acquirer Charges,,SCHEME,Processing Fee Schedule,Issuer and Acquirer Optional Service Elements,Authorization - Acquirer Charges
VI,3J4299575,Non-Regulated Business Unit,AUTHORZ,ACQ Authorisation POS Intra,Monthly,Per Tx (PPT) ,A,ACQ,EUR,0.0425,Non-Regulated Business Unit,Authorization **,Authorization - Acquirer Charges,,SCHEME,General Fee Schedule,Issuer and Acquirer Optional Service Elements,Authorization - Acquirer Charges
VI,3J4299595,Processing Business Unit,AUTHORZ,ACQ Authorisation POS Non Visa Dom,Monthly,Per Tx (PPT) ,A,ACQ,EUR,0.0032,Processing Business Unit,Authorization **,Authorization - Acquirer Charges,Coverred under 3J4299565,SCHEME,Processing Fee Schedule,Authorization,Authorization - Acquirer Charges
VI,3J4299605,Non-Regulated Business Unit,AUTHORZ,ACQ Authorisation POS Non Visa Inter,Monthly,Per Tx (PPT) ,A,ACQ,EUR,0.0425,Non-Regulated Business Unit,Authorization **,Authorization - Acquirer Charges,Coverred under 3J4299585,SCHEME,General Fee Schedule,Issuer and Acquirer Optional Service Elements,Authorization - Acquirer Charges
VI,3J4299586,Non-Regulated Business Unit,AUTHORZ,ACQ Authorisation POS NonEEA Intra,Monthly,Per Tx (PPT) ,A,ACQ,EUR,0.0425,Non-Regulated Business Unit,Authorization **,Authorization,Coverred under 3J4299575,SCHEME,General Fee Schedule,Authorization,Authorization - Acquirer Charges
VI,3J4299587,Non-Regulated Business Unit,AUTHORZ,ACQ Authorisation POS NonEEA Swiss Intra,Monthly,Per Tx (PPT) ,A,ACQ,EUR,0.03,Non-Regulated Business Unit,Authorization **,Authorization,Coverred under 3J4299575,SCHEME,General Fee Schedule,Authorization,Authorization - Acquirer Charges
VI,3F3516900,Processing Business Unit,CLEAR-SETTLE,ACQ Clearing & Settlement POS Dom,Monthly,Per Tx (PPT) ,A,ACQ,EUR,0.005,Processing Business Unit,Clearing And Settlement **,ACQUIRER—CLEARING AND SETTLEMENT **,,SCHEME,Processing Fee Schedule,Clearing and Settlement,Acquirer - Clearing and Settlement
