scheme,billing_line,description,recovery_2020,recovery_2021,recovery_2023,last_seen,is_acquiring
VI,3J4288204,INTER REGIONAL CASH WITHDRAWAL WITH ACCESS FEE NON EEA,A,Not included,Not included,2019-07-31,N
VI,3J4288205,INTER REGIONAL CASH WITHDRAWAL WITHOUT ACCESS FEE NON EEA,A,Not included,Not included,2023-01-01,N
VI,3J4288840,FINANCIAL REVERSAL - INTERNATIONAL,B,Not included,Not included,2023-01-01,N
VI,3J4289402,NON EEA INTRA REGIONAL ATM - CASH BASE,A,Not included,Not included,2023-01-01,N
VI,3J4289403,INTRA REGIONAL ATM - CASH ENHANCED,A,Not included,A,2023-01-01,N
VI,3J4289404,NON EEA INTRA REGIONAL ATM - CASH ENHANCED,A,Not included,Not included,2023-01-01,N
VI,3J4289501,INTER REGIONAL ATM - CASH BASE,A,Not included,Not included,2023-01-01,N
VI,3J4289502,INTER REGIONAL ATM - CASH ENHANCED,A,Not included,Not included,2023-01-01,N
VI,3J4299600,ACQUIRER AUTHORISATION INTER NON VISA CASH,A,Not included,Not included,2023-01-01,N
VI,3F3519901,CASH ORIGINAL WITHOUT ACCESS FEE ,A,Not included,Not included,2023-01-01,N
VI,3F3519903,CASH ORIGINAL WITHOUT ACCESS FEE NON EEA,A,Not included,Not included,2023-01-01,N
VI,3D2650502,INTER REGIONAL ATM - CASH BASE,A,Not included,Not included,2023-01-01,N
VI,3D2650513,INTRA REGIONAL ATM - CASH BASE,A,Not included,A,2023-01-01,N
VI,3D2650514,NON EEA INTRA REGIONAL ATM - CASH BASE,A,Not included,Not included,2023-01-01,N
VI,3F3517300,CASH ORIGINAL - DOMESTIC,A,Not included,Not included,2023-01-01,N
VI,3F3517400,CASH ORIGINAL REPRESENTMENT - DOMESTIC,Non-Sale,Not included,Not included,2022-12-01,N
VI,3F3517900,CASH CHARGEBACK - DOMESTIC,Non-Sale,Not included,Not included,2023-01-01,N
VI,3D2650517,INTRA REGIONAL ATM - CASH BASE - VPAY ONLY,A,Not included,Not included,2023-01-01,N
VI,3C2110000,MESSAGE PROCESSING COUNT,A,Not included,Not included,2023-01-01,N
VI,3J4293541,SMS Issuer Auth Intra - ISSUER,A,Not included,Not included,2023-01-01,N
VI,3J4293542,SMS Issuer Auth Domestic - ISSUER,A,Not included,Not included,2023-01-01,N
VI,3J4293540,SMS Issuer Auth Inter - ISSUER,A,Not included,Not included,2023-01-01,N
VI,3F3510120,PURCHASE ORIGINALS - INTRA REGIONAL,A,Scheme A,Not included,2023-01-01,N
VI,3F3510300,PURCHASE ORIGINAL - DOMESTIC,A,Scheme A,Not included,2022-12-01,N
VI,3F3512900,PURCHASE ORIGINAL - INTERNATIONAL,A,Scheme A,Not included,2021-12-01,N
VI,3F3529305,ISSUER SHARE OF ISA-INTER-REGIONAL MC,A,Not included,Not included,2021-12-01,N
VI,3F3529400,VE CROSS BORDER SERVICE ASSESSSMENT FEE,A,Not included,Not included,2022-12-01,N
VI,3F3510140,CREDIT ORIGINALS - INTRA REGIONAL,A,Non Sales,Not included,2021-12-01,N
VI,3F3528600,CURRENCY CONVERSION RATE UPDATE,A,Scheme B,C,2019-07-31,Y
VI,3J4216742,NON EEA INTRA-REGIONAL CHARGEBACK ACQUIRER SWISS,TO REVIEW,Not included,Not included,2022-07-31,N
VI,3J4274104,NON EEA INTRA-REGIONAL ATM - CASH BASE - VPAY ONLY,A,Not included,Not included,2023-01-01,N
VI,3CSF02520,ISSUER CARD SERVICE FEE - INTER REGIONAL - CONSUMER VOLUME FEE,A,Non-Sales,E,2022-10-01,Y
VI,3CSF02780,INNOVATION AND MARKET DEVELOPMENT VOLUME FEE - CYPRUS,B,Scheme B,B,2023-01-01,Y
VI,3CSF02950,ACQUIRER CARD SERVICE FEE - DOMESTIC OCT NON-MONEY TRANSFER TRANSACTION FEE,Non-Sale,Non-Sales,A,2022-10-01,Y
VI,3CSF02955,ACQUIRER CARD SERVICE FEE - INTRA REGIONAL OCT NON-MONEY TRANSFER TRANSACTION FEE,Non-Sale,Scheme A,A,2022-10-01,Y
VI,3CSF03440,VISA PREPAID BUSINESS CARD FEE,TO REVIEW,Scheme B,E,2021-10-01,Y
VI,3CSF07105,ACQUIRER CARD SERVICE FEE - ACCEPTANCE LOCATION VOLUME FEE - CARD PRESENT,A,Scheme A,A,2023-01-01,Y
VI,3CSF07110,ACQUIRER CARD SERVICE FEE - ACCEPTANCE LOCATION VOLUME FEE - CARD NOT PRESENT,A,Scheme A,A,2023-01-01,Y
VI,3C2511756,STIP ASSURANCE FEE,TO REVIEW,Scheme B,B,2023-01-01,Y
VI,3B1102116,VISA ACCOUNT UPDATER SUBSCRIPTION FEE,B,Scheme B,B,2023-01-01,Y
VI,3B1102148,VISA ACCOUNT UPDATER UPDATE FEE,Pass-through,Scheme B,C,2023-01-01,Y
VI,3Z9999055,VISA ONLINE MONTHLY SUBSCRIPTION,B,Scheme B,B,2023-01-01,Y
VI,3Z9963331,QUARTERLY RISK MONITORING SERVICE FEE FOR UNRATED NON-BANK ,C,Scheme B,B,2023-01-01,Y
VI,3C2163488,VEA SERVER,B,Scheme B,A,2023-01-01,Y
VI,3Z9903750,CNP CHARGEBACK,Non-Sale Excluded,Non-Sales,D,2023-01-01,Y
VI,3M6163370,VRM MONTHLY FEE PER USER,TO REVIEW,Scheme B,B,2023-01-01,Y
VI,3H4095056,EMV 3DS ACQUIRER AUTHENTICATION REQUEST FEE,A,Scheme A,C,2023-01-01,Y
VI,3H4095058,3DS 1.0 ACQUIRER AUTHENTICATION REQUEST FEE,A,Scheme A,A,2023-01-01,Y
VI,3F3524300,FUNDS DISBURSEMENT,A,Non-Sales,C,2023-01-01,Y
VI,3F3523500,RETURNED ITEM CREDIT - DOMESTIC,A,Scheme B,C,2023-01-01,Y
VI,3F3516735,CASH REPRESENTMENT - INTRA REGIONAL,Non-Sale,Not included,Not included,2019-07-31,N
VI,3F3519900,CASH ORIGINAL - INTERNATIONAL,A,Not included,Not included,2019-07-31,N
VI,3F3519902,CASH ORIGINAL - INTERNATIONAL WITH ACCESS FEE NON EEA,A,Not included,Not included,2019-07-31,N
VI,3F3520000,CASH REPRESENTMENT - INTERNATIONAL,Non-Sale,Not included,Not included,2019-07-31,N
VI,3F3520500,CASH CHARGEBACK - INTERNATIONAL,Non-Sale,Not included,Not included,2022-08-01,N
VI,3J4275221,NON EEA FINANCIAL REVERSAL - INTRA REGIONAL,B,Not included,Not included,2022-10-01,N
VI,3J4275222,NON EEA FINANCIAL REVERSAL - INTRA REGIONAL SWISS,B,Not included,Not included,2023-01-01,N
VI,3F3516790,CASH ORIGINAL REVERSAL - INTRA REGIONAL,B,Not included,Not included,2019-07-31,N
VI,3F3516820,CASH CHARGEBACK REVERSAL - INTRA REGIONAL,TO REVIEW,Not included,Not included,2020-10-31,N
VI,3D2650503,INTER REGIONAL ATM - CASH ENHANCED,A,Not included,Not included,2019-07-31,N
VI,3D2650512,NON EEA INTRA REGIONAL ATM - CASH BASE - VPAY ONLY,A,Not included,Not included,2023-01-01,N
VI,3D2650515,INTRA REGIONAL ATM - CASH ENHANCED,A,Not included,A,2019-07-31,N
VI,3D2650516,NON EEA INTRA REGIONAL ATM - CASH ENHANCED,A,Not included,Not included,2019-07-31,N
VI,3D2650518,INTRA REGIONAL ATM - CASH ENHANCED - VPAY ONLY,A,Not included,Not included,2019-07-31,N
VI,3D2650519,NON EEA INTRA REGIONAL ATM - CASH ENHANCED - VPAY ONLY,A,Not included,Not included,2019-07-31,N
VI,3D2650521,NON EEA INTRA REGIONAL ATM - CASH BASE MICROSTATES,TO REVIEW,Not included,Not included,2022-08-01,N
VI,3D2650522,NON EEA INTRA REGIONAL ATM - CASH ENHANCED MICROSTATES,TO REVIEW,Not included,Not included,2023-01-01,N
VI,3F3519909,CASH ORIGINAL - INTERNATIONAL WITH ACCESS FEE NON EEA MICROSTATES,TO REVIEW,Not included,Not included,2023-01-01,N
VI,3J4299582,ACQUIRER AUTHORISATION NON EEA INTRA VISA CASH MICROSTATES,TO REVIEW,Not included,Not included,2023-01-01,N
VI,3J4260560,REPRESENTMENT-DOMESTIC,Non-Sale,Non Sales,Not included,2023-01-01,N
VI,3J4260640,CASH WITHDRAWAL ADJUSTMENT - DOMESTIC,A,Not included,Not included,2022-11-01,N
VI,3J4275140,CASH WITHDRAWAL ADJUSTMENT - INTRA REGIONAL,A,Not included,Not included,2022-11-01,N
VI,3F3519100,CASH CHARGEBACK REVERSAL - DOMESTIC,A,Not included,Not included,2019-07-31,N
VI,3F3617300,CASH ORIGINAL - DOMESTIC,A,Not included,Not included,2021-12-01,N
VI,3F3617400,CASH REPRESENTMENT - DOMESTIC,Non-Sale,Not included,Not included,2019-07-31,N
VI,3F3617900,CASH CHARGEBACK - DOMESTIC,Non-Sale,Not included,Not included,2021-12-01,N
VI,3F3618500,CASH ORIGINAL REVERSAL - DOMESTIC,B,Not included,Not included,2021-12-01,N
VI,3J4275040,REPRESENTMENT - INTRA REGIONAL,Non-Sale,Non Sales,Not included,2019-07-31,N
VI,3J4274105,INTRA-REGIONAL ATM - CASH ENHANCED - VPAY ONLY,A,Not included,Not included,2019-09-30,N
VI,3F4022025,ADDITIONAL FUNDS TRANSFER CHARGE,TO REVIEW,Scheme B,B,2023-01-01,Y
VI,3M6120010,VROL Access (RID),Non-Sale,Non-Sales,D,2023-01-01,Y
VI,3H4010125,481 - IMAGES ADDED OR UPLOADED,Non-Sale,Scheme B,D,2023-01-01,Y
VI,3H4010136,RESPONSE TIMEFRAME DISPUTE TIER 3,Non-Sale,Non-Sales,D,2023-01-01,Y
VI,3F4030510,DCC BEHAVIORAL FEES INCORRECT BILLING CURRENCY - ATM,A,Not included,Not included,2023-01-01,N
VI,3F4000102,EDIT PACKAGE 4.0 MAINTENANCE AND SUPPORT FEE (PC),A,Scheme B,B,2023-01-01,Y
VI,3J4268800,SMS REPORT RECORD GENERATION AND DELIVERY,A,Scheme B,B,2023-01-01,Y
VI,3J4268900,SMS RAW DATA RECORD GENERATION AND DELIVERY ,A,Scheme B,C,2021-05-01,Y
VI,3J4296050,ISSUER WILL NEVER APPROVE- REATTEMPT (DOMESTIC),A,Scheme B,C,2023-01-01,Y
VI,3J4296056,EXCESS REATTEMPTED TRANSACTIONS (DOMESTIC),A,Scheme B,C,2023-01-01,Y
VI,3H4010139,ACCEPTED TIME FRAME TIER 3,Non-Sale,Scheme B,D,2019-07-31,Y
VI,3J4296051,ISSUER WILL NEVER APPROVE-REATTEMPT (INTERNATIONAL),A,Scheme B,C,2023-01-01,Y
VI,3D2653005,VISA REQUESTS,A,Scheme B,A,2023-01-01,Y
VI,3H4010140,EXPIRED RESPONSE TIME FRAME,Non-Sale,Scheme B,D,2023-01-01,Y
VI,3C2163446,0,Implemt-Proj,Scheme B,C,2023-01-01,Y
VI,3F3527713,NON-DEFAULT VSS REPORT VSS-120M,C,Not included,Not included,2021-12-01,N
VI,3H4010137,ACCEPTED TIME FRAME TIER 1,Non-Sale,Scheme B,D,2022-10-01,Y
VI,3D2652506,CVV BIN ERROR LISTING,B,Scheme A,C,2021-12-01,Y
VI,3D2653030,AGS SWITCH FEES FOR EU – MASTERCARD SWITCHING,A,Not included,Not included,2023-01-01,N
VI,3D2653050,OTHER SWITCHING,A,Scheme B,A,2023-01-01,Y
VI,3F3527711,NON-DEFAULT VSS REPORT VSS-115,C,Not included,Not included,2021-12-01,N
VI,3F3527712,NON-DEFAULT VSS REPORT VSS-115M,C,Not included,Not included,2021-12-01,N
VI,3F3527715,NON-DEFAULT VSS REPORT VSS-140M,C,Not included,Not included,2021-12-01,N
VI,3F3527716,NON-DEFAULT VSS REPORT VSS-210,C,Scheme B,B,2022-10-01,Y
VI,3F3527719,NON-DEFAULT VSS REPORT VSS-300,C,Not included,Not included,2021-12-01,N
VI,3F3527720,NON-DEFAULT VSS REPORT VSS-900,C,Not included,Not included,2021-12-01,N
VI,3D2653007,PROPRIETARY ATM/PLUS,A,Scheme B,A,2023-01-01,Y
VI,3N6214100,CH INQUIRY SVC - CLASSIC,C,Not included,Not included,2021-12-01,N
VI,3F3527717,NON-DEFAULT VSS REPORT VSS-210M,C,Scheme B,Not included,2019-12-31,N
VI,3D2659100,FILE RESIDENCY,B,Not included,Not included,2019-07-31,N
VI,3H4010134,RESPONSE TIMEFRAME DISPUTE TIER 1,Non-Sale,Non-Sales,D,2023-01-01,Y
VI,3F4030506,DCC BEHAVIORAL FEES INELIGIBLE PRODUCTS- ATM,Non-Sale,Not included,Not included,2021-12-01,N
VI,3F3527714,NON-DEFAULT VSS REPORT VSS-135,C,Not included,Not included,2019-08-31,N
VI,3C2121377,CVV1100 CVV ERROR LISTING,B,Not included,Not included,2021-12-01,N
VI,3F3527722,NON-DEFAULT VSS REPORT VSS-900M,C,Not included,Not included,2022-10-01,N
VI,3J4296052,GENERIC RESPONSE CODES-EXCESSIVE USE (DOMESTIC),A,Not included,Not included,2022-12-01,N
VI,3J4296053,GENERIC RESPONSE CODES-EXCESSIVE USE (INTERNATIONAL),A,Not included,Not included,2022-12-01,N
VI,3H4095057,ATTEMPTED AUTHENTICATION TRANSACTION CHARGE 3-D SECURE 1.0,B,Not included,Not included,2022-11-01,N
VI,3H4095059,ATTEMPTED AUTHENTICATION TRANSACTION CHARGE 3-D SECURE 2.0,B,Not included,Not included,2023-01-01,N
VI,3D2653070,PRIVATE LABEL SWITCHING,B,Scheme B,A,2023-01-01,Y
VI,3J4299565,ACQUIRER AUTHORISATION DOMESTIC VISA POS,A,Scheme A,A,2023-01-01,Y
VI,3J4299585,ACQUIRER AUTHORISATION INTRA VISA POS,A,Scheme A,A,2023-01-01,Y
VI,3J4299575,ACQUIRER AUTHORISATION INTER VISA POS,A,Scheme A,A,2023-01-01,Y
VI,3J4299605,ACQUIRER AUTHORISATION INTER NON VISA POS,A,Scheme A,A,2023-01-01,Y
VI,3H4010135,RESPONSE TIMEFRAME DISPUTE TIER 2,Non-Sale,Non-Sales,D,2023-01-01,Y
VI,3VAS00606,VSPS REPEAT AUTH DECLINE FEE,Behavr-Integrity,Non-Sales,C,2023-01-01,Y
VI,3J4296057,EXCESS REATTEMPTED TRANSACTIONS (INTERNATIONAL),A,Scheme B,C,2023-01-01,Y
VI,3F3516710,PURCHASE ORIGINAL - INTRA REGIONAL,A,Scheme A,A,2023-01-01,Y
VI,3F3516720,CREDIT ORIGINAL - INTRA REGIONAL,Non-Sale,Non-Sales,A,2023-01-01,Y
VI,3F3516900,PURCHASE ORIGINAL - DOMESTIC,A,Scheme A,A,2023-01-01,Y
VI,3F3519500,PURCHASE ORIGINAL - INTERNATIONAL,A,Scheme A,A,2023-01-01,Y
VI,3F3519700,CREDIT ORIGINAL - INTERNATIONAL,Non-Sale,Non-Sales,A,2023-01-01,Y
VI,3F3528900,INTERNATIONAL ACQUIRING FEE,A,Scheme A,A,2023-01-01,Y
VI,3B1102137,ACQUIRER INTERNATIONAL CARD NOT PRESENT,A,Scheme A,A,2023-01-01,Y
VI,3F3516711,NON EEA PURCHASE ORIGINAL - INTRA REGIONAL,A,Scheme A,A,2023-01-01,Y
VI,3F3516712,NON EEA PURCHASE ORIGINAL - INTRA REGIONAL SWISS,A,Scheme A,A,2023-01-01,Y
VI,3F3516721,NON EEA CREDIT ORIGINAL - INTRA REGIONAL,Non-Sale,Non-Sales,C,2022-10-01,Y
VI,3F3516722,NON EEA CREDIT ORIGINAL - INTRA REGIONAL SWISS,Non-Sale,Non-Sales,A,2022-12-01,Y
VI,3F3517100,CREDIT ORIGINAL - DOMESTIC,Non-Sale,Non-Sales,A,2023-01-01,Y
VI,3F3528901,NON EEA INTERNATIONAL ACQUIRING FEE,A,Scheme A,A,2023-01-01,Y
VI,3B1102132,ACQUIRER NON EEA INTERNATIONAL CARD NOT PRESENT,A,Scheme A,A,2023-01-01,Y
VI,3B1102133,ACQUIRER NON EEA INTERNATIONAL CARD NOT PRESENT SWISS,A,Scheme A,A,2023-01-01,Y
VI,3J4273880,PURCHASE - INTRA REGIONAL,A,Non-Sales,A,2022-11-01,Y
VI,3J4299586,ACQUIRER AUTHORISATION NON EEA INTRA VISA POS,A,Scheme A,A,2023-01-01,Y
VI,3J4299587,ACQUIRER AUTHORISATION NON EEA INTRA VISA POS SWISS,A,Scheme A,A,2023-01-01,Y
VI,3F3516740,PURCHASE CHARGEBACK - INTRA REGIONAL,Non-Sale,Non-Sales,D,2023-01-01,Y
VI,3F3516741,NON EEA PURCHASE CHARGEBACK - INTRA REGIONAL,Non-Sale,Scheme B,D,2022-08-01,Y
VI,3F3516742,NON EEA PURCHASE CHARGEBACK - INTRA REGIONAL SWISS,Non-Sale,Scheme B,D,2022-11-01,Y
VI,3F3516750,CREDIT CHARGEBACK - INTRA REGIONAL,Non-Sale,Non-Sales,D,2019-11-30,Y
VI,3F3517500,PURCHASE CHARGEBACK - DOMESTIC,Non-Sale,Non-Sales,D,2022-11-01,Y
VI,3F3519600,PURCHASE REPRESENTMENT - INTERNATIONAL,Non-Sale,Non-Sales,A,2023-01-01,Y
VI,3F3520100,PURCHASE CHARGEBACK - INTERNATIONAL,Non-Sale,Non-Sales,D,2023-01-01,Y
VI,3F3520300,CREDIT CHARGEBACK - INTERNATIONAL,Non-Sale,Non-Sales,D,2022-12-01,Y
VI,3F3522600,RECLASSIFICATION ADVICE - DOMESTIC,B,Scheme B,C,2023-01-01,Y
VI,3J4274060,POS CANCELLATION - INTRA REGIONAL,A,Non-Sales,C,2022-11-01,Y
VI,3J4288160,POS CANCELLATION - INTERNATIONAL,A,Non-Sales,C,2023-01-01,Y
VI,3F3516800,PURCHASE CHARGEBACK REVERSAL - INTRA REGIONAL,Non-Sale,Non-Sales,D,2022-10-01,Y
VI,3F3520800,PURCHASE REPRESENTMENT REVERSAL - INTERNATIONAL,Non-Sale,Non-Sales,D,2023-01-01,Y
VI,3F3521300,PURCHASE CHARGEBACK REVERSAL - INTERNATIONAL,Non-Sale,Non-Sales,D,2023-01-01,Y
VI,3J4260340,PURCHASE - DOMESTIC,A,Scheme A,A,2022-11-01,Y
VI,3F3624300,FUNDS DISBURSEMENT,A,Non-Sales,B,2023-01-01,Y
VI,3F3616900,PURCHASE ORIGINAL - DOMESTIC,A,Scheme A,A,2023-01-01,Y
VI,3F3617000,PURCHASE REPRESENTMENT - DOMESTIC,Non-Sale,Non-Sales,D,2023-01-01,Y
VI,3F3617100,CREDIT ORIGINAL - DOMESTIC,Non-Sale,Non-Sales,A,2023-01-01,Y
VI,3F3617500,PURCHASE CHARGEBACK - DOMESTIC,Non-Sale,Non-Sales,D,2023-01-01,Y
VI,3F3617700,CREDIT CHARGEBACK - DOMESTIC,Non-Sale,Non-Sales,D,2023-01-01,Y
VI,3J4260420,POS CANCELLATION - DOMESTIC,A,Non-Sales,C,2023-01-01,Y
VI,3F3618200,PURCHASE REPRESENTMENT REVERSAL - DOMESTIC,Non-Sale,Non-Sales,D,2023-01-01,Y
VI,3F3618700,PURCHASE CHARGEBACK REVERSAL - DOMESTIC,Non-Sale,Non-Sales,D,2023-01-01,Y
VI,3F3516713,NON EEA PURCHASE ORIGINAL - INTRA REGIONAL MICROSTATES,TO REVIEW,Scheme B,A,2023-01-01,Y
VI,3J4299588,ACQUIRER AUTHORISATION NON EEA INTRA VISA POS MICROSTATES,Non-Sale,Scheme B,A,2023-01-01,Y
VI,3J4260720,CHARGEBACKS REVERSAL - DOMESTIC,Non-Sale,Non Sales,Not included,2022-09-01,N
VI,3J4274106,NON EEA INTRA-REGIONAL ATM - CASH ENHANCED - VPAY ONLY,A,Not included,Not included,2023-01-01,N
VI,3J4288640,REPRESENTMENT - INTERNATIONAL,Non-Sale,Non Sales,Not included,2022-11-01,N
VI,3J4288720,CASH WITHDRAWAL ADJUSTMENT - INTERNATIONAL,A,Not included,Not included,2022-11-01,N
VI,3J4288208,INTER REGIONAL CASH WITHDRAWAL WITHOUT ACCESS FEE NON EEA MICROSTATE,A,Not included,Not included,2023-01-01,N
VI,3J4289406,NON EEA INTRA REGIONAL ATM - CASH ENHANCED MICROSTATES,TO REVIEW,Not included,Not included,2022-11-01,N
VI,3F3521100,CASH ORIGINAL REVERSAL - INTERNATIONAL,B,Not included,Not included,2019-07-31,N
VI,4F3529090,Special Handling Fee for Non-Compliant ATM Transactions **,FINE,Not included,Not included,2019-07-31,N
VI,3F3518600,CASH REPRESENTMENT REVERSAL - DOMESTIC,A,Not included,Not included,2019-10-31,N
VI,3J4293544,SMS Issuer Auth Intra - STIP,A,Not included,Not included,2022-12-01,N
VI,3J4289405,NON EEA INTRA REGIONAL ATM - CASH BASE MICROSTATES,A,Not included,Not included,2023-01-01,N
VI,3Z9999046,GFIS ANNUAL FEE,B,Scheme B,B,2020-04-30,Y
VI,3B1102139,RECURRING TRANSACTIONS—VISA ACCOUNT UPDATER (VAU) - ACQUIRER FEE **,TO REVIEW,Scheme B,C,2022-03-31,Y
VI,3F3516761,CASH CHARGEBACK - INTRA REGIONAL,Non-Sale,Not included,Not included,2019-08-31,N
VI,1F3529090,Special Handling Fee for Non-Compliant ATM Transactions **,FINE,Not included,Not included,2019-07-31,N
VI,5F3529090,Special Handling Fee for Non-Compliant ATM Transactions **,FINE,Not included,Not included,2020-02-29,N
VI,3F3518500,CASH ORIGINAL REVERSAL - DOMESTIC,B,Not included,Not included,2019-07-31,N
VI,3F3619100,CASH CHARGEBACK REVERSAL - DOMESTIC,A,Not included,Not included,2019-08-31,N
VI,3J4216740,INTRA-REGIONAL CHARGEBACK ACQUIRER,Non-Sale,Non Sales,Not included,2022-12-01,N
VI,3J4288207,INTER REGIONAL CASH WITHDRAWAL WITH ACCESS FEE NON EEA MICROSTATE,TO REVIEW,Not included,Not included,2022-10-01,N
VI,3F3519910,CASH ORIGINAL WITHOUT ACCESS FEE NON EEA MICROSTATES,TO REVIEW,Not included,Not included,2022-08-01,N
VI,3H4010138,ACCEPTED TIME FRAME TIER 2,Non-Sale,Scheme B,D,2019-07-31,Y
VI,3C2163438,PRODUCTION CHANGES,Implemt-Proj,Scheme B,C,2023-01-01,Y
VI,3F3523700,RETURNED ITEM DEBIT - DOMESTIC,A,Scheme B,C,2019-09-30,Y
VI,3F3521500,CREDIT CHARGEBACK REVERSAL - INTERNATIONAL,Non-Sale,Scheme B,D,2020-12-31,Y
VI,3F3617200,CREDIT REPRESENTMENT - DOMESTIC,TO REVIEW,Non-Sales,D,2022-03-31,Y
VI,3F3618900,CREDIT CHARGEBACK REVERSAL - DOMESTIC,TO REVIEW,Scheme B,D,2022-03-31,Y
VI,3B1102130,ACQUIRER NON EEA INTERNATIONAL CARD NOT PRESENT MICROSTATES,TO REVIEW,Scheme B,A,2023-01-01,Y
VI,3J4220100,INTER-REGIONAL CHARGEBACK ACQUIRER,Non-Sale,Non Sales,Not included,2022-11-01,N
VI,3F3529075,ATM SHF -INTRA-REGIONAL,FINE,Not included,Not included,2019-07-31,N
VI,3J4255122,INTERREGIONAL VERIFICATIONS - ISSUER,TO REVIEW,Not included,Not included,2023-01-01,N
VI,3J4255127,0,TO REVIEW,Not included,Not included,2023-01-01,N
VI,3J4255121,DOMESTIC VERIFICATIONS –ISSUER,TO REVIEW,Not included,Not included,2022-12-01,N
VI,3F3529368,SWISS ISSUER ISA POS CNP DEBIT MC ( BL for UK GIBRALTAR),TO REVIEW,Not included,Not included,2022-04-30,N
VI,3J4212460,FUNDS DISBURSEMENT - INTRA REGIONAL,A,Not included,Not included,2019-08-31,N
VI,3M6164220,ADDRESS VERIFICATION SERVICE - ACQUIRER FEE,B,Scheme B,B,2023-01-01,Y
VI,3CSF02900,ACQUIRER INNOVATION AND MARKET DEVELOPMENT VOLUME FEE - BELGIUM,B,Scheme B,B,2021-01-01,Y
VI,3J4275142,NON EEA CASH WITHDRAWAL ADJUSTMENT - INTRA REGIONAL SWISS,A,Not included,Not included,2023-01-01,N
VI,3F4023220,LATE SETTLEMENT FEE,FINE,Non-Sales,C,2022-10-01,Y
VI,3C2121387,APR5100—Issuer and Stand-In Authorization Summary,TO REVIEW,Not included,Not included,2023-01-01,N
VI,3J4255125,DOMESTIC VERIFICATIONS- ACQUIRER,TO REVIEW,Not included,C,2023-01-01,Y
VI,3J4255126,INTERREGIONAL VERIFICATIONS- ACQUIRER,TO REVIEW,Not included,D,2023-01-01,Y
VI,3H4010121,PRE - COMPLIANCE QUESTIONNAIRE/RESPONSE QUESTIONNAIRE,TO REVIEW,Not included,D,2022-12-01,Y
VI,3J4299610,ACQUIRER AUTHORISATION INTRA NON VISA CASH,A,Not included,Not included,2019-07-31,N
VI,3J4299611,ACQUIRER AUTHORISATION NON EEA INTRA NON VISA CASH,A,Not included,Not included,2019-07-31,N
VI,3C2111010,AUTHORISATIONS BY ISSUER - INTRA REGIONAL,A,Not included,Not included,2019-07-31,N
VI,3C2112100,AUTHORISATIONS BY ISSUER - DOMESTIC,A,Not included,Not included,2019-07-31,N
VI,3C2111011,AUTHORISATIONS BY ISSUER - Non EAA INTRA REGIONAL,A,Not included,Not included,2019-07-31,N
VI,3M6141411,NEGATIVE RESPONSE FEE - US,FINE,Not included,Not included,2019-07-31,N
VI,3C2111020,AUTHORISATION BY BASE - INTRA REGIONAL,A,Not included,Not included,2019-07-31,N
VI,3C2112011,AUTHORISATIONS BY ISSUER - INTERNATIONAL,A,Not included,E,2020-02-29,Y
VI,3C2112020,AUTHORISATIONS BY BASE - INTERNATIONAL,A,Not included,Not included,2019-07-31,N
